bridge_id,bauwerksart_text,baustoffklasse,laenge,breite,baujahr,traffic_dtv_latest,traffic_dtv_mean,zustandsnote,zustandsnotenklasse,gis_ort,gis_kreis,gis_bundesland,geom_x,geom_y
5221559._3,Brücke als geschlossener Rahmen                                                 ,Beton/Stahlbeton,2.7,4.2,1996,55521.0,53859.40909090909,2.0,2.0  -  2.4,Romrod / Romrod                                   ,Vogelsbergkreis                                                                 ,HE,1027436.0727999992,6573682.847900003
5221561._1,Brücke als offener Rahmen                                                       ,Beton/Stahlbeton,5.7,6.0,1996,,,2.0,2.0  -  2.4,Romrod / Romrod                                   ,Vogelsbergkreis                                                                 ,HE,1022504.4019999988,6570430.632600002
5221561._2,Gewölbe- bzw. Bogenbrücke                                                       ,Beton/Stahlbeton,5.7,63.01,1938,,,1.8,1.5  -  1.9,Romrod / Romrod                                   ,Vogelsbergkreis                                                                 ,HE,1022504.4019999988,6570430.632600002
5221562._1,Gewölbe-/Bogenbrücke ohne Aufbeton                                              ,Beton/Stahlbeton,9.0,7.0,1996,,,2.0,2.0  -  2.4,Romrod / Romrod                                   ,Vogelsbergkreis                                                                 ,HE,1022339.468199998,6570441.321099997
5221562._2,Gewölbe- bzw. Bogenbrücke                                                       ,Beton/Stahlbeton,9.0,17.33,1937,,,2.0,2.0  -  2.4,Romrod / Romrod                                   ,Vogelsbergkreis                                                                 ,HE,1022339.468199998,6570441.321099997
5221562._3,Gewölbe- bzw. Bogenbrücke                                                       ,Beton/Stahlbeton,9.0,16.16,1937,,,1.9,1.5  -  1.9,Romrod / Romrod                                   ,Vogelsbergkreis                                                                 ,HE,1022339.468199998,6570441.321099997
5221563._1,Brücke als geschlossener Rahmen                                                 ,Beton/Stahlbeton,3.5,4.74,1987,55521.0,53859.40909090909,1.7,1.5  -  1.9,Alsfeld / Alsfeld                                 ,Vogelsbergkreis                                                                 ,HE,1030482.5826999992,6575034.640799999
5221563._2,Brücke als geschlossener Rahmen                                                 ,Beton/Stahlbeton,3.35,13.6,1937,55521.0,53859.40909090909,1.7,1.5  -  1.9,Alsfeld / Alsfeld                                 ,Vogelsbergkreis                                                                 ,HE,1030482.5826999992,6575034.640799999
5221563._3,Brücke als geschlossener Rahmen                                                 ,Beton/Stahlbeton,3.35,13.59,1937,55521.0,53859.40909090909,1.7,1.5  -  1.9,Alsfeld / Alsfeld                                 ,Vogelsbergkreis                                                                 ,HE,1030482.5826999992,6575034.640799999
5221563._4,Brücke als geschlossener Rahmen                                                 ,Beton/Stahlbeton,3.5,4.43,1987,55521.0,53859.40909090909,2.1,2.0  -  2.4,Alsfeld / Alsfeld                                 ,Vogelsbergkreis                                                                 ,HE,1030482.5826999992,6575034.640799999
5221564._1,Brücke als geschlossener Rahmen                                                 ,Beton/Stahlbeton,2.38,7.71,1989,55521.0,53859.40909090909,1.9,1.5  -  1.9,Alsfeld / Alsfeld                                 ,Vogelsbergkreis                                                                 ,HE,1034709.3200000004,6576338.1765
5221564._2,Brücke als geschlossener Rahmen                                                 ,Beton/Stahlbeton,2.35,16.05,1937,55521.0,53859.40909090909,1.6,1.5  -  1.9,Alsfeld / Alsfeld                                 ,Vogelsbergkreis                                                                 ,HE,1034709.3200000004,6576338.1765
5221564._3,Brücke als geschlossener Rahmen                                                 ,Beton/Stahlbeton,2.35,15.85,1937,55521.0,53859.40909090909,1.7,1.5  -  1.9,Alsfeld / Alsfeld                                 ,Vogelsbergkreis                                                                 ,HE,1034709.3200000004,6576338.1765
5221564._4,Brücke als geschlossener Rahmen                                                 ,Beton/Stahlbeton,2.38,4.0,1989,55521.0,53859.40909090909,1.8,1.5  -  1.9,Alsfeld / Alsfeld                                 ,Vogelsbergkreis                                                                 ,HE,1034709.3200000004,6576338.1765
5221566._1,Brücke als offener Rahmen                                                       ,Beton/Stahlbeton,3.45,10.35,1987,55521.0,53859.40909090909,2.0,2.0  -  2.4,Alsfeld / Alsfeld                                 ,Vogelsbergkreis                                                                 ,HE,1030748.9847000018,6575116.754799999
5221566._2,Brücke als geschlossener Rahmen                                                 ,Beton/Stahlbeton,3.45,20.35,1937,55521.0,53859.40909090909,1.7,1.5  -  1.9,Alsfeld / Alsfeld                                 ,Vogelsbergkreis                                                                 ,HE,1030748.9847000018,6575116.754799999
5221566._3,Brücke als geschlossener Rahmen                                                 ,Beton/Stahlbeton,3.45,21.2,1937,55521.0,53859.40909090909,1.7,1.5  -  1.9,Alsfeld / Alsfeld                                 ,Vogelsbergkreis                                                                 ,HE,1030748.9847000018,6575116.754799999
5221566._4,Brücke als offener Rahmen                                                       ,Beton/Stahlbeton,3.45,5.0,1987,55521.0,53859.40909090909,2.0,2.0  -  2.4,Alsfeld / Alsfeld                                 ,Vogelsbergkreis                                                                 ,HE,1030748.9847000018,6575116.754799999
5221628._0,"Plattenbalkenbrücke, Trägerrostbrücke                                           ",Spannbeton,38.84,13.6,1986,55521.0,53859.40909090909,2.3,2.0  -  2.4,Stadt Alsfeld                                     ,Vogelsbergkreis                                                                 ,HE,1029850.9752999992,6578356.137699999
5221677._0,"Rohr als Brücke, mit Ummantelung                                                ",Stahl/Leichtmetall,8.41,34.8,1998,,,1.8,1.5  -  1.9,Romrod / Romrod                                   ,Vogelsbergkreis                                                                 ,HE,1023381.6444000006,6570739.835199997
